SA2 code,5 year growth rate
106011111,1.39
106011112,-0.37
106011113,0.53
106021114,5.76
106021115,0.84
106021116,2.32
106021117,3.15
106021118,4.00
106031119,0.68
106031120,0.43
106031121,1.18
106031122,-0.21
106031123,0.24
106031124,1.63
106031125,1.50
106041126,0.13
106041127,-0.56
106041128,-1.28
106041129,0.26
107011131,0.84
107011132,4.00
107011133,-14.45
107011134,-0.30
107011545,1.16
107011546,0.11
107011547,0.01
107021135,-12.94
107031136,1.27
107031137,-0.77
107031138,1.71
107031139,0.49
107031140,2.16
107031141,4.16
107031142,0.66
107031143,0.11
107041144,0.83
107041145,0.17
107041146,1.04
107041147,0.81
107041148,1.07
107041150,1.15
107041548,3.11
107041549,1.65
108011151,-0.30
108011152,0.62
108011153,1.33
108011154,0.97
108021155,0.49
108021156,-0.19
108021157,0.72
108021158,-0.17
108021159,0.50
108021160,0.48
108031161,1.13
108041162,1.72
108041163,0.69
108041164,2.90
108041165,0.55
108041166,1.55
108051167,0.55
108051168,1.85
108051169,0.02
108051170,1.04
108051171,-0.05
109011172,3.13
109011173,1.10
109011174,-0.57
109011175,1.09
109011176,0.84
109021177,-0.30
109021178,0.48
109021179,-0.29
109031180,-0.76
109031181,0.59
109031182,0.46
109031183,-0.45
109031184,2.42
109031185,0.71
110011186,0.62
110011187,0.23
110011188,-0.32
110011189,-0.40
110021190,0.00
110021191,0.13
110021192,-0.43
110021193,0.93
110021194,-0.58
110031195,-0.83
110031196,-0.64
110031197,0.18
110031198,-0.51
110041199,0.76
110041200,-1.73
110041201,0.19
110041202,0.26
110041203,2.09
110041204,0.52
110041205,0.90
111011206,0.22
111011207,-0.36
111011208,0.12
111011209,0.10
111011210,0.18
111011211,-0.02
111011212,1.29
111011213,-0.30
111011214,0.44
111021215,-0.47
111021216,1.69
111021217,3.39
111021218,1.91
111021219,-0.10
111021220,0.18
111021221,1.05
111031222,0.09
111031223,-0.27
111031224,0.23
111031225,-0.06
111031226,3.90
111031227,0.22
111031228,0.05
111031229,1.90
111031230,-2.20
111031231,2.81
111031232,4.69
111031233,0.20
111031234,0.15
111031235,0.64
112011236,1.12
112011237,1.36
112011238,1.69
112011239,1.12
112011240,1.64
112011241,0.75
112011242,1.37
112011243,2.14
112021244,0.33
112021245,-0.08
112021246,0.16
112021247,-0.93
112021248,-0.90
112021249,0.11
112031250,4.26
112031251,1.38
112031252,0.06
112031253,1.54
112031254,0.97
112031550,0.35
112031551,0.68
112031552,0.21
113011256,1.16
113011257,0.05
113011258,0.11
113011259,-0.49
113021260,-0.13
113021261,-0.44
113021262,-0.13
113031263,0.01
113031264,-0.11
113031265,1.18
113031266,0.77
113031267,0.48
113031268,5.25
113031269,0.05
113031270,0.35
113031271,1.08
114011272,0.86
114011273,0.32
114011274,0.49
114011275,4.87
114011276,2.04
114011277,0.32
114011278,1.97
114011279,1.70
114011280,0.70
114011281,0.50
114011282,1.51
114011283,1.87
114021284,0.83
114021285,1.46
114021286,2.11
114021287,2.01
114021288,0.89
114021289,1.21
199999499,
197979799,
206011105,2.82
206011106,6.14
206011107,1.52
206011108,1.31
206011109,1.79
206021110,2.05
206021111,1.95
206021112,1.42
206031113,2.32
206031114,2.66
206031115,2.13
206031116,1.40
206041117,6.77
206041118,13.36
206041119,1.48
206041120,0.67
206041121,1.97
206041122,10.61
206041123,6.33
206041124,3.29
206041125,1.59
206041126,8.83
206041127,
206051128,2.39
206051129,0.88
206051130,1.57
206051131,68.62
206051132,2.70
206051133,2.79
206051134,1.54
206061135,1.98
206061136,1.97
206061137,6.40
206061138,0.49
206071139,8.53
206071140,0.76
206071141,6.91
206071142,1.83
206071143,1.80
206071144,3.05
206071145,1.88
207011146,0.74
207011147,0.82
207011148,0.50
207011149,1.48
207011150,0.68
207011151,2.05
207011152,2.88
207011153,1.11
207011154,0.85
207011155,0.70
207021156,0.57
207021157,3.09
207021159,0.35
207021160,0.76
207021424,0.67
207021425,1.96
207031161,1.64
207031162,0.69
207031163,3.36
207031164,1.57
207031165,3.66
207031166,0.56
207031167,0.72
208011168,1.39
208011169,1.67
208011170,0.61
208011171,2.33
208011172,1.19
208011173,1.86
208021174,1.49
208021176,2.52
208021177,1.80
208021178,1.24
208021179,1.72
208021180,1.61
208021181,1.47
208021182,1.61
208021426,1.81
208021427,1.76
208031183,0.44
208031184,10.76
208031185,1.34
208031186,2.04
208031187,0.75
208031188,2.20
208031189,1.48
208031190,1.86
208031191,2.13
208031192,
208031193,1.45
208041194,0.83
208041195,1.73
209011196,0.91
209011197,0.46
209011198,1.73
209011199,1.47
209011200,1.63
209011201,0.45
209011202,0.93
209011203,0.42
209011204,0.65
209021205,2.81
209021207,1.94
209021208,1.10
209021428,2.52
