SA2 code,5 year growth rate
406021142,-0.53
406021143,-2.89
407011144,1.03
407011145,1.26
407011146,1.57
407011147,1.61
407011148,1.09
407011149,2.66
407021150,1.77
407021151,0.07
407021152,0.01
407021154,0.57
407021155,-1.44
407021156,0.32
407021157,0.01
407021158,0.26
407021173,0.52
407021174,0.52
407031159,-0.01
407031160,0.18
407031161,0.05
407031162,0.15
407031163,0.05
407031164,1.23
407031165,1.38
407031166,1.37
407031167,0.82
407031168,0.35
407031169,-0.53
407031170,0.84
499999499,
497979799,
502011021,4.11
502011022,1.04
502011023,-0.71
502011024,0.67
502011025,-0.79
502011026,2.92
502011027,4.53
502011028,0.25
502011029,1.61
503011030,-0.25
503011031,0.53
503011032,-0.59
503011033,1.45
503011034,-0.23
503011035,-0.22
503011036,1.54
503021037,1.15
503021038,0.35
503021039,-0.30
503021040,0.07
503021041,2.09
503021042,0.78
503021043,-0.03
504011044,-0.11
504011045,0.30
504011046,-0.44
504011047,-0.14
504011048,-1.69
504021049,0.77
504021050,-0.70
504021051,2.04
504021052,-6.51
504021053,-0.84
504021054,-0.93
504031055,18.47
504031056,-1.48
504031057,2.39
504031058,2.97
504031059,6.96
504031060,-0.14
504031061,1.40
504031062,4.22
504031063,0.00
504031064,
504031065,-0.15
504031066,0.15
504031067,-0.24
504031068,9.15
504031069,
505011070,0.15
505011071,-1.00
505011072,-0.59
505011073,-0.74
505011074,-0.82
505011075,-0.51
505011076,3.51
505011077,-1.20
505011078,-1.01
505011079,-0.38
505011080,-1.45
505011081,-1.05
505011082,-0.21
505011083,-0.67
505021084,-0.42
505021085,0.16
505021086,-0.12
505021087,
505021088,0.75
505021089,0.64
505021090,0.84
505021091,6.72
505021092,0.53
505021093,-0.15
505021094,0.47
505021095,-0.04
505021096,0.42
505021097,0.13
505031098,-0.42
505031099,1.20
505031100,5.12
505031101,0.54
505031102,-0.99
505031103,3.94
505031104,-0.80
505031105,0.65
505031106,18.47
505031107,0.03
505031108,0.77
505031255,48.31
505031256,-1.55
505031257,6.21
505031258,11.95
506011110,1.89
506011111,18.47
506011112,-0.34
506011113,15.62
506011114,-0.34
506011115,0.54
506011116,-0.12
506011117,1.30
506021118,-0.07
506021119,0.35
506021120,18.47
506021121,-9.48
506021122,1.30
506021123,0.15
506031124,-0.33
506031125,-1.00
506031126,-100.00
506031127,1.34
506031128,-0.52
506031129,-0.39
506031130,-1.47
506031131,-0.22
506041132,0.25
506041133,0.73
506041134,-0.12
506041135,3.20
506041136,1.36
506041137,-0.86
506051138,0.88
506051139,-0.30
506051140,-0.28
506051141,-0.21
506061142,11.39
506061143,2.43
506061144,0.70
506071145,-0.18
506071146,-0.04
506071147,-0.74
507011148,3.05
507011150,-11.65
507011151,
507011152,1.51
507011153,0.01
507011154,0.00
507011155,7.14
507011158,19.10
507011159,-0.21
507011160,1.25
507011161,3.53
507011163,-0.17
507011259,2.92
507011260,-1.42
507021164,0.18
507021165,1.06
507021166,-0.02
507021167,12.70
507031169,9.49
507031170,-0.34
507031172,-15.59
507031173,6.79
507031174,-0.60
507031261,11.18
507041175,-0.03
507041176,-1.57
507041177,-0.13
507041178,-0.53
507041179,-0.33
507041180,-1.28
507041181,0.13
507041182,-0.47
507041183,-0.14
507041184,-1.98
507051185,9.68
507051186,-1.15
507051187,-1.42
507051188,-0.42
507051189,-6.51
507051190,-0.54
507051191,3.13
507051192,-0.08
507051193,-1.58
501011001,3.00
501011002,2.02
501011003,3.25
501011004,3.07
501021005,2.22
501021007,0.92
501021008,-0.62
501021009,-1.55
501021010,-0.51
501021011,3.71
501021012,1.02
501021014,0.21
501021015,-0.69
501021016,1.18
501021251,2.96
501021252,-0.45
501021253,-0.14
501021254,-1.81
501031017,0.51
501031018,0.88
501031019,-0.64
501031020,-0.37
509011225,-0.31
509011226,2.13
509011227,1.29
509011228,1.18
509011229,-0.38
509011230,-1.36
509011231,-0.87
509011232,1.30
509011233,1.57
509011234,0.24
509011235,
509021236,2.35
509021237,-0.34
509021238,-1.54
509021239,-0.14
509021240,-0.02
509021241,-0.18
509021242,-2.46
509021243,-0.50
509021244,-1.11
509021245,0.11
509031246,-0.57
509031247,-1.22
509031248,-3.18
509031249,-1.40
509031250,-0.51
510011262,-0.36
510011263,-2.67
510011264,-1.55
510011265,-2.50
510011266,0.10
510021267,-1.58
510021268,-5.89
510021269,-0.93
510021270,-0.63
510031271,2.16
510031272,-1.40
510031273,-2.24
511011274,-0.09
511011275,-2.82
511021276,-2.14
511021277,0.61
511031278,-2.46
511031279,-2.05
511031280,-1.44
511031281,
511031282,-4.64
511031283,-3.64
511031284,
511041285,-2.51
511041286,-0.11
511041287,1.73
511041288,0.24
511041289,-1.03
511041290,-6.86
511041291,-2.98
511041292,-1.75
599999499,
597979799,
601011001,-0.43
601011002,2.81
601011003,3.22
601021004,0.34
601021005,1.18
601021006,0.21
601021007,1.59
601021008,1.37
601021009,0.43
601021010,1.54
601021011,2.51
601021012,1.02
601031013,1.31
601031014,0.52
601031015,0.35
601031016,0.30
601031017,1.28
601031018,1.55
601031019,0.47
601031020,0.85
601031021,0.64
601041022,1.26
601041023,1.63
601041024,1.45
601041025,
601041026,0.42
601051027,1.53
601051028,0.80
601051029,2.34
601051030,0.79
601051031,1.03
601051032,0.87
601051033,0.66
601061034,1.55
601061035,2.13
602011036,-0.16
602011037,1.54
602011038,-0.25
602011039,1.84
602011040,0.28
602011041,1.09
602011042,0.93
602011043,0.12
602011044,-0.01
602011045,-1.91
602011046,0.94
602011047,0.48
602011048,0.66
602011049,-0.38
602011050,0.23
602011051,0.04
602011052,-0.55
602021053,-0.08
602021054,0.19
602021055,0.32
602021056,1.39
602021057,-0.12
602031058,0.02
602031059,0.18
602031060,1.58
602031061,-0.13
602031062,1.15
602031064,-0.39
602031099,3.16
602031100,-1.12
603011065,-1.35
603011066,-0.09
603011067,-0.19
603011068,11.20
603021069,1.07
603021070,1.95
603021071,0.87
603021072,1.19
603031073,0.38
603031074,0.46
604011075,0.02
604011076,-0.84
604011077,-1.01
604011078,0.09
604011079,0.19
604011080,-0.91
604011081,-0.32
604011082,-0.07
604011083,-0.83
604011084,0.06
604021085,-0.46
604021086,-0.64
604021087,1.26
604021088,2.25
604021089,2.39
604021090,0.45
604021091,-0.22
604021092,0.45
604031093,-0.22
604031094,-0.27
604031095,-0.53
604031096,-1.29
604031097,-1.84
604031098,
699999499,
697979799,
701011001,-49.05
701011002,5.41
701011003,-15.24
701011004,0.16
701011005,1.14
701011006,-2.72
701011007,4.20
701011008,0.26
701011009,-0.68
701021010,-1.43
701021011,-1.14
701021012,-12.61
701021013,1.51
701021014,-100.00
701021015,-100.00
701021016,0.13
701021017,7.63
701021018,-0.79
701021019,-0.40
701021020,-1.44
701021021,13.02
701021022,-1.37
701021023,-0.62
701021024,-1.36
701021025,-0.66
701021026,-0.64
701021027,-1.02
701021028,-0.97
701021029,-0.64
701021030,-1.95
701031031,6.43
701031032,0.73
701031033,2.48
701031034,1.73
701031035,3.43
701041036,-0.25
701041037,-1.03
701041038,2.59
701041039,-0.85
701041040,-1.05
701041041,0.48
701041042,32.93
701041043,5.84
701041044,-1.34
702011045,-2.45
702011046,-1.05
702011047,-1.00
702011048,-1.43
702011049,-0.41
702011050,0.59
702011051,0.11
702011052,-0.17
702011053,-0.70
702011054,-0.55
702021055,-0.85
702021056,-1.45
702031057,-0.76
702031058,-1.23
702031059,0.91
702031060,-1.71
702031061,-0.48
702041062,-1.29
702041063,-0.80
702041064,-6.23
702051065,1.31
702051066,-0.02
702051067,-0.17
702051068,-0.79
799999499,
797979799,
801011001,-0.25
801011002,4.76
801011003,1.98
801011004,-1.38
801011005,-1.12
801011006,-0.22
801011007,-0.45
801011008,-1.36
801011009,-1.38
801011010,-1.72
801011011,-0.14
801011012,6.96
801011013,0.19
801011014,-0.49
801011015,-0.84
801011016,-0.21
801011017,0.09
801011018,
801011019,2.53
801011020,0.65
801011021,-0.53
801011022,-0.36
801011023,1.05
801011024,0.71
801011025,-0.14
801011026,-0.23
801011111,1.76
801011112,1.39
801031031,3.47
801031032,-1.02
801031113,-1.31
801031114,3.10
801031115,1.45
801041034,0.56
801041035,7.89
801041036,15.23
801041037,21.17
801041038,5.36
801041039,7.77
801041040,1.57
801041043,-2.61
801041044,8.18
801041045,-10.59
801041046,3.93
801041047,-0.16
801041048,-0.85
801041116,
801041117,
801041118,153.65
801041119,-9.71
801041120,
801041121,
801041122,
801051049,0.93
801051050,0.45
801051051,2.94
801051053,5.85
801051054,1.49
801051055,1.25
801051056,0.74
801051057,2.52
801051058,1.04
801051060,2.14
801051061,0.97
801051123,
801051124,1.76
801051125,2.45
801051126,0.00
801051127,1.13
801051128,
801061062,0.77
801061063,1.67
801061064,3.65
801061066,
801061067,1.20
801061068,10.76
801061069,-1.03
801061070,0.46
801061129,2.85
801061130,4.65
801061131,8.67
801071071,-0.73
801071072,-0.81
801071073,-0.63
801071074,-0.48
801071075,-1.22
801071076,-0.98
801071077,-0.81
801071078,-0.69
801071079,-0.07
801071080,6.84
801071081,-0.08
801071082,-0.92
801071083,-0.87
801071084,-0.78
801071085,0.00
801071086,-1.28
801071087,-1.03
801071088,-1.23
801071089,-4.01
801071090,-1.12
801071132,2.90
801081091,-0.72
801081092,-1.21
801081093,-1.03
801081094,-1.17
801081095,-0.22
801081096,-0.39
801081097,-0.67
801081098,0.84
801081133,-15.59
801091099,-1.14
801091100,-0.08
801091101,-0.40
801091102,1.29
801091103,-0.42
801091104,-0.20
801091105,1.34
801091106,0.91
801091107,1.75
801091108,0.01
801091109,9.62
801091110,-1.28
801101134,14.87
801101135,
801101136,
801101137,
801101138,0.00
801101139,78.57
801111140,2.62
801111141,1.06
899999499,
897979799,
901011001,-1.13
901021002,-0.33
901031003,1.56
901041004,
999999499,
997979799,
